doc_i,doc_j,dias,s_ref,s_emb,w
633,11900,984,0.6645,0.6852,0.6707
633,11908,1020,0.6645,0.6353,0.6557
633,19232,1004,0.5608,0.704,0.6038
633,3067,1001,0.5608,0.6395,0.5844
639,22339,2,0.3,0.8518,0.4655
657,14037,6,0.5,0.8408,0.6022
662,5739,8,0.365,0.9776,0.5488
687,3370,1,0.8628,0.9701,0.895
699,16533,130,0.6778,0.9228,0.7513
699,2249,196,0.3257,0.9318,0.5075
699,2492,75,0.3257,0.9419,0.5105
699,2502,130,0.3257,0.9069,0.5
699,3288,196,0.3257,0.901,0.4983
699,3290,196,0.3257,0.9343,0.5082
703,16533,130,0.6778,0.8665,0.7344
703,2249,196,0.3257,0.8704,0.4891
703,2492,75,0.3257,0.8826,0.4927
703,2502,130,0.3257,0.8493,0.4828
703,3288,196,0.3257,0.8429,0.4808
703,3290,196,0.3257,0.9022,0.4986
708,2901,1,0.3796,0.9528,0.5515
716,2420,1,0.8628,0.9472,0.8881
716,2869,49,0.6628,0.8592,0.7217
834,1066,537,0.5,0.7946,0.5884
834,1069,253,0.5,0.5825,0.5248
834,1071,126,0.5,0.5989,0.5297
837,2801,125,0.5,0.7127,0.5638
837,2810,495,0.6851,0.8313,0.7289
851,5203,142,0.6851,0.6393,0.6713
902,951,169,0.6257,0.847,0.6921
902,962,148,0.3185,0.795,0.4615
902,11687,1,0.3185,0.9108,0.4962
902,2705,365,0.6257,0.9301,0.717
902,2725,148,0.6257,0.8606,0.6962
903,2623,112,0.5799,0.6248,0.5934
903,2624,119,0.5799,0.6642,0.6052
903,2626,112,0.5799,0.6333,0.5959
903,2738,77,0.5799,0.6629,0.6048
915,949,134,0.2807,0.8818,0.461
915,2641,11,0.2807,0.9438,0.4796
925,11687,163,0.5178,0.8413,0.6149
925,2495,162,0.5178,0.8264,0.6104
925,2503,162,0.5178,0.8525,0.6182
925,2509,7,0.5178,0.7955,0.6011
925,2703,920,0.6867,0.8297,0.7296
925,2704,162,0.5178,0.6844,0.5678
925,2709,162,0.5178,0.8862,0.6283
925,2724,161,0.3084,0.8671,0.476
925,2725,14,0.3084,0.8215,0.4623
925,2726,171,0.5178,0.8286,0.611
925,2830,168,0.5178,0.7263,0.5804
925,2833,161,0.3084,0.8642,0.4751
925,2838,153,0.5178,0.8704,0.6236
929,931,600,0.5178,0.7274,0.5807
929,945,508,0.5178,0.7029,0.5734
929,19150,72,0.5178,0.6535,0.5585
929,2442,1031,0.5178,0.8802,0.6266
929,2444,1030,0.5178,0.8953,0.6311
929,2734,36,0.5178,0.9112,0.6358
929,2757,1030,0.5178,0.7357,0.5832
929,2764,796,0.5178,0.7906,0.5996
929,2766,428,0.5178,0.7421,0.5851
929,3325,1051,0.5178,0.8592,0.6202
931,19150,528,0.6791,0.5904,0.6525
931,2734,636,0.5178,0.7262,0.5803
931,2766,1028,0.6791,0.7441,0.6986
943,972,294,0.5951,0.7216,0.633
943,19507,556,0.7951,0.852,0.8121
943,2636,384,0.5951,0.5721,0.5882
943,2751,252,0.5951,0.7077,0.6289
943,2759,192,0.5951,0.6683,0.617
943,2760,474,0.5951,0.6802,0.6206
945,19150,580,0.5178,0.5401,0.5245
945,2442,523,0.5178,0.6955,0.5711
945,2444,522,0.5178,0.7236,0.5796
945,2734,472,0.5178,0.7399,0.5845
945,2757,522,0.5178,0.5943,0.5408
945,2764,288,0.5178,0.695,0.571
945,2766,80,0.5178,0.7667,0.5925
945,3325,543,0.5178,0.6813,0.5669
949,2623,134,0.2807,0.8879,0.4628
949,2641,145,0.2807,0.8651,0.456
950,22369,442,0.6157,0.8047,0.6724
950,22437,214,0.2807,0.8901,0.4635
950,2263,1,0.6141,0.7746,0.6622
950,2700,2,0.2807,0.8498,0.4514
950,2749,1,0.6141,0.6675,0.6301
951,2705,534,0.6257,0.7922,0.6757
951,2725,21,0.6257,0.7707,0.6692
951,2739,169,0.7669,0.8446,0.7902
951,2744,406,0.6274,0.6661,0.639
952,2501,218,0.3025,0.8078,0.4541
952,2736,217,0.3025,0.8825,0.4765
952,2737,1,0.3025,0.8465,0.4657
952,2847,178,0.663,0.862,0.7227
955,2364,671,0.604,0.6392,0.6146
960,8165,499,0.604,0.8605,0.6809
960,2372,524,0.604,0.8692,0.6835
960,3322,525,0.604,0.7436,0.6459
961,11706,167,0.3395,0.789,0.4743
961,3318,324,0.2896,0.9465,0.4867
962,11687,149,0.3185,0.7765,0.4559
968,2623,149,0.3185,0.8438,0.4761
968,2624,156,0.3185,0.7903,0.4601
968,2641,160,0.3185,0.8231,0.4699
972,19507,850,0.5951,0.7668,0.6466
972,2636,678,0.5951,0.6725,0.6183
972,2751,42,0.5951,0.8559,0.6733
972,2759,486,0.7951,0.8538,0.8127
972,2760,180,0.5951,0.8228,0.6634
1056,7552,170,0.6395,0.5148,0.6021
1066,1069,284,0.7847,0.6106,0.7325
1066,1071,663,0.7847,0.6188,0.7349
1066,1073,1038,0.7847,0.8524,0.805
1068,1071,216,0.2847,0.8911,0.4666
1069,1071,379,0.7847,0.7687,0.7799
1081,19128,693,0.8,0.7032,0.771
1085,1090,38,0.971,0.5292,0.8384
1085,1102,202,0.4862,0.67,0.5413
1085,1104,784,0.771,0.7186,0.7552
1085,2450,340,0.4862,0.6409,0.5326
1089,20043,740,0.5,0.7868,0.586
1090,1102,164,0.4862,0.668,0.5408
1090,1104,746,0.771,0.6752,0.7422
1090,2450,302,0.4862,0.683,0.5452
1091,1102,561,0.5,0.586,0.5258
1102,2450,138,0.4862,0.6985,0.5499
1103,7009,614,0.8,0.8237,0.8071
1103,23165,12,0.5,0.8628,0.6088
1110,1126,46,0.3147,0.863,0.4792
1111,1116,285,0.7402,0.7611,0.7465
1111,1119,365,0.7402,0.8848,0.7836
1111,1124,419,0.7402,0.7449,0.7416
1111,1131,269,0.4615,0.8945,0.5914
1111,9066,52,0.3147,0.9015,0.4907
1111,11331,739,0.7402,0.9393,0.7999
1111,19017,56,0.4615,0.8093,0.5659
1111,19019,356,0.4615,0.6074,0.5053
1114,1121,843,0.5541,0.7862,0.6238
1114,1138,843,0.5541,0.7967,0.6269
1114,1154,280,0.3147,0.7897,0.4572
1114,5361,855,0.5541,0.5847,0.5633
1114,9031,294,0.5541,0.4507,0.5231
1114,11299,284,0.5541,0.5762,0.5607
1114,11310,842,0.5541,0.5911,0.5652
1114,11312,845,0.5541,0.5342,0.5481
1114,11328,843,0.5541,0.5915,0.5653
1114,18998,836,0.5541,0.5299,0.5469
1114,19000,851,0.5541,0.5058,0.5396
1114,19005,280,0.5541,0.4817,0.5324
1114,19017,47,0.5541,0.4939,0.5361
1115,1126,442,0.6147,0.535,0.5908
1115,1127,1,0.3147,0.89,0.4873
1115,8167,1,0.3147,0.8113,0.4637
1115,9033,50,0.5147,0.6731,0.5622
1115,9050,1078,0.5147,0.9058,0.632
1115,9062,548,0.5147,0.6257,0.548
1115,11312,3,0.3147,0.8341,0.4705
1115,11316,35,0.3147,0.8713,0.4817
1115,11328,1,0.3147,0.9357,0.501
1115,11340,1,0.3147,0.9072,0.4924
1115,18998,6,0.3147,0.8788,0.4839
1115,19000,9,0.3147,0.8481,0.4747
1115,19002,1,0.3147,0.947,0.5044
1115,19012,141,0.3147,0.7903,0.4574
1116,1119,80,0.7402,0.7746,0.7505
1116,1124,704,0.7402,0.6577,0.7154
1116,9066,337,0.3147,0.8159,0.4651
1116,11331,454,0.7402,0.7959,0.7569
1116,19017,341,0.4615,0.8467,0.5771
1118,1124,269,0.3147,0.803,0.4612
1118,1156,169,0.3147,0.8467,0.4743
1118,11299,301,0.3147,0.9311,0.4996
1118,11303,302,0.3147,0.9218,0.4968
1118,11326,322,0.3147,0.8908,0.4875
1118,19005,305,0.3147,0.8309,0.4696
1119,1124,784,0.7402,0.6967,0.7271
1119,11331,374,0.7402,0.8928,0.786
1121,1137,1,0.3147,0.9386,0.5019
1121,1150,1,0.3147,0.8975,0.4895
1121,5361,12,0.5541,0.547,0.552
1121,9050,1077,0.5541,0.7129,0.6018
