doc_i,doc_j,w,s_ref,s_emb,dias,largo,grado_i,grado_j,triangulos,embeddedness,edge_betweenness,puente,articulacion_adyacente,ref_objeto,ref_territorio,ref_actor,idf_max_ref_compartido
970,1928,0.6649,0.5694,0.8877,1,False,21,19,16,0.7273,0.000182,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1930,0.6875,0.5694,0.9628,1,False,21,19,16,0.7273,0.000182,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1933,0.6512,0.5694,0.8421,57,False,21,18,15,0.6818,0.000189,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1954,0.6351,0.5694,0.7882,57,False,21,18,15,0.6818,0.000189,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
970,1972,0.5729,0.4571,0.8431,57,False,21,13,10,0.4545,0.000847,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
970,2163,0.6299,0.5301,0.8628,822,True,21,24,5,0.1316,0.002526,False,False,estrategia nacional del litio,,estrategia nacional del litio,0.9724
970,2206,0.5062,0.3356,0.9043,7,False,21,22,13,0.4643,0.001445,False,False,estrategia nacional del litio,,,0.6712
970,2209,0.5074,0.3356,0.9085,343,False,21,28,13,0.3824,0.00333,False,False,estrategia nacional del litio,,,0.6712
970,2211,0.5543,0.4479,0.8025,6,False,21,15,12,0.5455,0.000723,False,False,estrategia nacional del litio,salar de atacama,,0.6712
978,983,0.6871,0.5694,0.9616,3,False,19,21,18,0.9,7.7e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1088,0.5374,0.4479,0.746,15,False,19,16,13,0.65,0.000443,False,False,estrategia nacional del litio,salar de atacama,,0.6712
978,1205,0.6539,0.5694,0.8511,15,False,19,24,18,0.7826,0.000587,False,True,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1242,0.5915,0.4479,0.9265,38,False,19,16,13,0.65,0.000443,False,False,estrategia nacional del litio,salar de atacama,,0.6712
978,1244,0.5003,0.3356,0.8848,56,False,19,14,11,0.55,0.000542,False,False,estrategia nacional del litio,,,0.6712
978,1909,0.6823,0.5694,0.9456,1001,True,19,23,5,0.1429,0.002728,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1910,0.6729,0.5694,0.9143,1001,True,19,23,5,0.1429,0.002728,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1911,0.6798,0.5694,0.9372,1001,True,19,23,5,0.1429,0.002728,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1913,0.6735,0.5694,0.9164,1001,True,19,23,5,0.1429,0.002728,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1933,0.6875,0.5694,0.963,56,False,19,18,15,0.75,9.1e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1954,0.6754,0.5694,0.9227,56,False,19,18,15,0.75,9.1e-05,False,False,estrategia nacional del litio,salar de atacama,consejo de pueblos atacamenos,0.6712
978,1972,0.6109,0.4571,0.9698,56,False,19,13,10,0.5,0.000548,False,False,estrategia nacional del litio,,consejo de pueblos atacamenos,0.6712
978,2206,0.5033,0.3356,0.8948,6,False,19,22,13,0.5,0.001024,False,False,estrategia nacional del litio,,,0.6712
978,2209,0.4968,0.3356,0.8729,342,False,19,28,13,0.4062,0.003034,False,False,estrategia nacional del litio,,,0.6712
978,2210,0.5599,0.4479,0.8212,1,False,19,14,11,0.55,0.000517,False,False,estrategia nacional del litio,salar de atacama,,0.6712
